Servo x	Yellow x	Green x
0.0195	-0.1938	-0.1262
0.0176	-0.1676	-0.0951
0.0176	-0.1397	-0.0632
0.0158	-0.1098	-0.0306
0.0158	-0.0789	0.0022
0.0131	-0.0468	0.0348
0.0131	-0.0142	0.0669
0.0090	0.0184	0.0980
0.0090	0.0512	0.1282
0.0053	0.0831	0.1566
0.0053	0.1144	0.1835
0.0020	0.1446	0.2083
0.0020	0.1733	0.2304
-0.0029	0.2002	0.2500
-0.0029	0.2250	0.2669
-0.0067	0.2473	0.2808
-0.0067	0.2671	0.2914
-0.0103	0.2843	0.2982
-0.0103	0.2982	0.3019
-0.0141	0.3090	0.3019
-0.0141	0.3166	0.2985
-0.0164	0.3208	0.2919
-0.0166	0.3218	0.2816
-0.0183	0.3193	0.2681
-0.0183	0.3137	0.2514
-0.0197	0.3046	0.2321
-0.0197	0.2923	0.2103
-0.0200	0.2772	0.1855
-0.0200	0.2588	0.1588
-0.0196	0.2379	0.1304
-0.0196	0.2147	0.1000
-0.0179	0.1889	0.0686
-0.0179	0.1612	0.0363
-0.0161	0.1321	0.0032
